Person_id,Family_Number,Person_Number,Person_Name,Relation_to_Head,Gender,Age,Nationality_Type,Nationality,Trips_Done,Occupation_Status,Occupation_Type,Usual_Mode_of_Travel,License_Type,Bus_Pass,Special_Needs,Car_Available,Person_id_bk,Age_Group,Occupation_Group,Family_income_band,Family_cars,HH_Car_AV,p_car_AV,Tour,Trip,Goout,Inc_group,Inc_group_order,PersonGroup,PersonGroup_inc,PersonGroup_inc_cv,Old_car_AV,B,E,H,O,S,W,X,Y
2022702,20227,2,Ms. B,Wife,Female,34-44,Saudi,,nothing,House Person,,,No License,No,No Problem,Sometimes,2022702,34-44,NW,10,1,Car_Av,NCA,0,0,0,H,3H,Saudi_NW_Female,Saudi_NW_Female_3H,Saudi_NW_Female_3H_NCA,NCA,0,0,0,0,0,0,0,0
2022703,20227,3,Mr. C,Son/Daughter,Male,18,Saudi,,sick,House Person,,,No License,No,No Problem,Sometimes,2022703,18-24,NW,10,1,Car_Av,NCA,0,0,0,H,3H,Saudi_NW_Male,Saudi_NW_Male_3H,Saudi_NW_Male_3H_NCA,NCA,0,0,0,0,0,0,0,0
2022704,20227,4,Mr. D,Son/Daughter,Male,12,Saudi,,Yes,Student - Elementary School,,Car as Passenger,No License,No,No Problem,Sometimes,2022704,Dec-15,SP,10,1,Car_Av,CA,1,2,1,H,3H,Saudi_SP_Male,Saudi_SP_Male,Saudi_SP_Male_CA,CA,0,1,1,0,0,0,0,0
2013701,20137,1,Mr. A,Head of Household,Male,55-64,Saudi,,Yes,Retired,,,Car Only,No,No Problem,Always,2013701,55-64,NW,2,1,Car_Av,CA,1,2,1,L,1L,Saudi_NW_Male,Saudi_NW_Male_1L,Saudi_NW_Male_1L_CA,CA,0,0,1,0,1,0,0,0
2013702,20137,2,Ms. B,Wife,Female,45-54,Saudi,,Yes,House Person,,,Car Only,No,No Problem,Sometimes,2013702,45-54,NW,2,1,Car_Av,CA,1,2,1,L,1L,Saudi_NW_Female,Saudi_NW_Female_1L,Saudi_NW_Female_1L_CA,NCA,0,0,1,0,1,0,0,0
2013703,20137,3,Ms. C,Son/Daughter,Female,16-17,Saudi,,Yes,Student - Secondary School,,School Bus,No License,No,No Problem,Sometimes,2013703,16-17,SS,2,1,Car_Av,NCA,1,2,1,L,1L,Saudi_SS_Female,Saudi_SS_Female,Saudi_SS_Female_NCA,NCA,0,1,1,0,0,0,0,0
2013704,20137,4,Ms. D,Son/Daughter,Female,16-17,Saudi,,Yes,Student - Secondary School,,School Bus,No License,No,No Problem,Sometimes,2013704,16-17,SS,2,1,Car_Av,NCA,1,2,1,L,1L,Saudi_SS_Female,Saudi_SS_Female,Saudi_SS_Female_NCA,NCA,0,1,1,0,0,0,0,0
2124401,21244,1,Mr. A,Head of Household,Male,49,Saudi,,Yes,Retired,Offices - government,Car as Driver,Car Only,No,No Problem,Always,2124401,45-54,NW,5,3,Car_Av,CA,1,2,1,M,2M,Saudi_NW_Male,Saudi_NW_Male_2M,Saudi_NW_Male_2M_CA,CA,0,0,1,0,0,0,0,1
2124402,21244,2,Ms. B,Wife,Female,47,Saudi,,nothing,House Person,,,No License,No,No Problem,Always,2124402,45-54,NW,5,3,Car_Av,CA,0,0,0,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_CA,CA,0,0,0,0,0,0,0,0
2124403,21244,3,Mr. C,Son/Daughter,Male,22,Saudi,,Yes,Student - University: Full-Time (does not work),,,Car Only,No,No Problem,Always,2124403,18-24,S,5,3,Car_Av,CA,1,2,1,M,2M,Saudi_S_Male,Saudi_S_Male,Saudi_S_Male_CA,CA,0,1,1,0,0,0,0,0
2124404,21244,4,Mr. D,Son/Daughter,Male,13,Saudi,,Yes,Student - Primary School,,Car as Passenger,No License,No,No Problem,Always,2124404,Dec-15,SP,5,3,Car_Av,CA,1,2,1,M,2M,Saudi_SP_Male,Saudi_SP_Male,Saudi_SP_Male_CA,CA,0,1,1,0,0,0,0,0
2124405,21244,5,Mr. E,Son/Daughter,Male,12,Saudi,,Yes,Student - Elementary School,,Car as Passenger,No License,No,No Problem,Always,2124405,Dec-15,SP,5,3,Car_Av,CA,1,2,1,M,2M,Saudi_SP_Male,Saudi_SP_Male,Saudi_SP_Male_CA,CA,0,1,1,0,0,0,0,0
2022801,20228,1,Mr. A,Head of Household,Male,51,Saudi,,Yes,Full Time Employed,Offices - government,Car as Driver,Car Only,No,No Problem,Always,2022801,45-54,W,8,1,Car_Av,CA,1,2,1,H,3H,Saudi_W_Male,Saudi_W_Male_3H,Saudi_W_Male_3H_CA,CA,0,0,1,0,0,1,0,0
2022802,20228,2,Ms. B,Wife,Female,38,Saudi,,nothing,House Person,,,No License,No,No Problem,Always,2022802,34-44,NW,8,1,Car_Av,CA,0,0,0,H,3H,Saudi_NW_Female,Saudi_NW_Female_3H,Saudi_NW_Female_3H_CA,CA,0,0,0,0,0,0,0,0
2013801,20138,1,Mr. A,Head of Household,Male,34-44,Saudi,,Yes,Full Time Employed,Offices - government,Car as Driver,Car Only,No,No Problem,Always,2013801,34-44,W,6,2,Car_Av,CA,1,2,1,M,2M,Saudi_W_Male,Saudi_W_Male_2M,Saudi_W_Male_2M_CA,CA,0,1,1,0,0,0,0,0
2013802,20138,2,Ms. B,Wife,Female,25-34,Saudi,,Vacation,Full Time Employed,Medical Hospital - Health Center (Governmental),Car as Passenger,Car Only,No,No Problem,Always,2013802,25-34,W,6,2,Car_Av,CA,0,0,0,M,2M,Saudi_W_Female,Saudi_W_Female_2M,Saudi_W_Female_2M_CA,CA,0,0,0,0,0,0,0,0
2013803,20138,3,Ms. C,Son/Daughter,Female,06-Nov,Saudi,,Yes,Student - Elementary School,,Car as Passenger,No License,No,No Problem,Sometimes,2013803,06-Nov,SP,6,2,Car_Av,CA,1,2,1,M,2M,Saudi_SP_Female,Saudi_SP_Female,Saudi_SP_Female_CA,CA,0,1,1,0,0,0,0,0
2013804,20138,4,Ms. D,Son/Daughter,Female,06-Nov,Saudi,,Yes,Student - Elementary School,,Car as Passenger,No License,No,No Problem,Sometimes,2013804,06-Nov,SP,6,2,Car_Av,CA,1,2,1,M,2M,Saudi_SP_Female,Saudi_SP_Female,Saudi_SP_Female_CA,CA,0,1,1,0,0,0,0,0
2022901,20229,1,Mr. A,Head of Household,Male,28,Saudi,,Yes,Full Time Employed,Medical Hospital - Health Center (Private),Car as Driver,Car Only,No,No Problem,Always,2022901,25-34,W,5,3,Car_Av,CA,1,2,1,M,2M,Saudi_W_Male,Saudi_W_Male_2M,Saudi_W_Male_2M_CA,CA,0,0,1,0,0,1,0,0
2022902,20229,2,Mr. B,Siblings,Male,22,Saudi,,nothing,Student - University: Full-Time (does not work),,,Car Only,No,No Problem,Always,2022902,18-24,S,5,3,Car_Av,CA,0,0,0,M,2M,Saudi_S_Male,Saudi_S_Male,Saudi_S_Male_CA,CA,0,0,0,0,0,0,0,0
2022903,20229,3,Mr. C,Siblings,Male,20,Saudi,,Yes,Student - University: Full-Time (does not work),,,Car Only,No,No Problem,Always,2022903,18-24,S,5,3,Car_Av,CA,1,2,1,M,2M,Saudi_S_Male,Saudi_S_Male,Saudi_S_Male_CA,CA,0,1,1,0,0,0,0,0
2022904,20229,4,Ms. D,Wife,Female,44,Saudi,,nothing,Full Time Employed,personal office,Car as Driver,Car Only,No,No Problem,Always,2022904,34-44,W,5,3,Car_Av,CA,0,0,0,M,2M,Saudi_W_Female,Saudi_W_Female_2M,Saudi_W_Female_2M_CA,CA,0,0,0,0,0,0,0,0
2022905,20229,5,Ms. E,Parents / Grandparents,Female,65-74,Saudi,,nothing,House Person,,,No License,No,No Problem,Always,2022905,65-74,NW,5,3,Car_Av,CA,0,0,0,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_CA,CA,0,0,0,0,0,0,0,0
2023001,20230,1,Mr. A,Head of Household,Male,33,Saudi,,Yes,Full Time Employed,Offices - government,Car as Driver,Car Only,No,No Problem,Always,2023001,25-34,W,6,1,Car_Av,CA,1,2,1,M,2M,Saudi_W_Male,Saudi_W_Male_2M,Saudi_W_Male_2M_CA,CA,0,0,1,0,0,1,0,0
2023002,20230,2,Ms. B,Wife,Female,23,Saudi,,nothing,House Person,,,No License,No,No Problem,Always,2023002,18-24,NW,6,1,Car_Av,CA,0,0,0,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_CA,CA,0,0,0,0,0,0,0,0
2023003,20230,3,Ms. C,Son/Daughter,Female,3,Saudi,,child,Child not at nursery,,,No License,,No Problem,,2023003,<=5,NW,6,1,Car_Av,NCA,0,0,0,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_NCA,NCA,0,0,0,0,0,0,0,0
2124701,21247,1,Mr. A,Head of Household,Male,57,Saudi,,Yes,Retired,,,Car Only,No,No Problem,Always,2124701,55-64,NW,6,2,Car_Av,CA,1,2,1,M,2M,Saudi_NW_Male,Saudi_NW_Male_2M,Saudi_NW_Male_2M_CA,CA,0,0,1,0,0,0,0,1
2124702,21247,2,Ms. B,Wife,Female,52,Saudi,,nothing,House Person,,,No License,No,No Problem,Always,2124702,45-54,NW,6,2,Car_Av,CA,0,0,0,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_CA,CA,0,0,0,0,0,0,0,0
2124703,21247,3,Mr. C,Son/Daughter,Male,34,Saudi,,Yes,Full Time Employed,Offices - government,Car as Driver,Car Only,No,No Problem,Always,2124703,25-34,W,6,2,Car_Av,CA,1,2,1,M,2M,Saudi_W_Male,Saudi_W_Male_2M,Saudi_W_Male_2M_CA,CA,0,0,1,0,0,1,0,0
2124704,21247,4,Mr. D,Son/Daughter,Male,14,Saudi,,Yes,Student - Primary School,,Car as Passenger,No License,No,No Problem,Always,2124704,Dec-15,SP,6,2,Car_Av,CA,1,2,1,M,2M,Saudi_SP_Male,Saudi_SP_Male,Saudi_SP_Male_CA,CA,0,1,1,0,0,0,0,0
2023101,20231,1,Mr. A,Head of Household,Male,65-74,Saudi,,nothing,Retired,Offices - government,Car as Driver,Car Only,No,No Problem,Always,2023101,65-74,NW,7,1,Car_Av,CA,0,0,0,M,2M,Saudi_NW_Male,Saudi_NW_Male_2M,Saudi_NW_Male_2M_CA,CA,0,0,0,0,0,0,0,0
2023102,20231,2,Ms. B,Wife,Female,55-64,Saudi,,nothing,Retired,Education - school,Car as Passenger,No License,No,No Problem,Always,2023102,55-64,NW,7,1,Car_Av,CA,0,0,0,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_CA,CA,0,0,0,0,0,0,0,0
2023103,20231,3,Mr. C,Son/Daughter,Male,27,Saudi,,Yes,Full Time Employed,personal office,Car as Driver,Car Only,No,No Problem,Always,2023103,25-34,W,7,1,Car_Av,CA,1,2,1,M,2M,Saudi_W_Male,Saudi_W_Male_2M,Saudi_W_Male_2M_CA,CA,0,0,1,0,0,1,0,0
2023104,20231,4,Ms. D,Son/Daughter,Female,18-24,Saudi,,nothing,Student - University: Full-Time (does not work),,,No License,No,No Problem,Always,2023104,18-24,S,7,1,Car_Av,CA,0,0,0,M,2M,Saudi_S_Female,Saudi_S_Female,Saudi_S_Female_CA,CA,0,0,0,0,0,0,0,0
2059501,20595,1,Mr. A,Head of Household,Male,27,Non-Saudi Arab,Sudan,Yes,Full Time Employed,"Driver- bus, taxi, limousine",Car as Driver,Car Only,No,No Problem,Always,2059501,25-34,W,4,0,Car_Nav,CA,1,2,1,L,1L,Non-Saudi Arab_W_Male,Non-Saudi Arab_W_Male_1L,Non-Saudi Arab_W_Male_1L_CA,CA,0,0,1,0,0,1,0,0
2059502,20595,2,Ms. B,Wife,Female,25,Non-Saudi Arab,Sudan,housewife,Unemployed,,,Car Only,No,No Problem,Always,2059502,25-34,NW,4,0,Car_Nav,CA,0,0,0,L,1L,Non-Saudi Arab_NW_Female,Non-Saudi Arab_NW_Female_1L,Non-Saudi Arab_NW_Female_1L_CA,CA,0,0,0,0,0,0,0,0
2058901,20589,1,Mr. A,Head of Household,Male,34-44,Saudi,,Yes,Self-Employed (own business),Commercial trade - non-office,Car as Driver,Car Only,No,No Problem,Always,2058901,34-44,W,4,1,Car_Av,CA,2,4,1,L,1L,Saudi_W_Male,Saudi_W_Male_1L,Saudi_W_Male_1L_CA,CA,0,0,2,1,0,1,0,0
2059401,20594,1,Mr. A,Head of Household,Male,45,Saudi,,Yes,Self-Employed (own business),Offices - government,Car as Driver,Car Only,No,No Problem,Always,2059401,45-54,W,8,1,Car_Av,CA,1,2,1,H,3H,Saudi_W_Male,Saudi_W_Male_3H,Saudi_W_Male_3H_CA,CA,0,0,1,1,0,0,0,0
2266801,22668,1,Ms. A,Head of Household,Female,30,Saudi,,Yes,Refused to Answer,,,Car Only,,No Problem,Always,2266801,25-34,NW,99,1,Car_Av,CA,2,4,1,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_CA,CA,1,0,2,0,1,0,0,0
2028201,20282,1,Mr. A,Head of Household,Male,52,Saudi,,Yes,Full Time Employed,Offices - government,Car as Driver,Car Only,No,No Problem,Always,2028201,45-54,W,10,4,Car_Av,CA,2,4,1,H,3H,Saudi_W_Male,Saudi_W_Male_3H,Saudi_W_Male_3H_CA,CA,0,0,2,1,0,1,0,0
2028202,20282,2,Ms. B,Wife,Female,44,Saudi,,Yes,Full Time Employed,Education - school,Car as Driver,Car Only,No,No Problem,Always,2028202,34-44,W,10,4,Car_Av,CA,2,4,1,H,3H,Saudi_W_Female,Saudi_W_Female_3H,Saudi_W_Female_3H_CA,CA,0,0,2,0,1,1,0,0
2028203,20282,3,Ms. C,Son/Daughter,Female,21,Saudi,,Yes,Student - University: Full-Time (does not work),,,Car Only,No,No Problem,Always,2028203,18-24,S,10,4,Car_Av,CA,1,2,1,H,3H,Saudi_S_Female,Saudi_S_Female,Saudi_S_Female_CA,CA,0,1,1,0,0,0,0,0
2028204,20282,4,Mr. D,Son/Daughter,Male,20,Saudi,,Yes,Student - University: Full-Time (does not work),,,Car Only,No,No Problem,Always,2028204,18-24,S,10,4,Car_Av,CA,2,4,1,H,3H,Saudi_S_Male,Saudi_S_Male,Saudi_S_Male_CA,CA,0,1,2,1,0,0,0,0
2028205,20282,5,Mr. E,Son/Daughter,Male,14,Saudi,,Yes,Student - Primary School,,School Bus,No License,No,No Problem,Sometimes,2028205,Dec-15,SP,10,4,Car_Av,NCA,1,2,1,H,3H,Saudi_SP_Male,Saudi_SP_Male,Saudi_SP_Male_NCA,NCA,0,1,1,0,0,0,0,0
2059601,20596,1,Mr. A,Head of Household,Male,45-54,Non-Saudi Arab,Egyptian,Yes,Full Time Employed,Commercial trade - non-office,Car as Driver,Car Only,No,No Problem,Always,2059601,45-54,W,2,0,Car_Nav,CA,0,4,0,L,1L,Non-Saudi Arab_W_Male,Non-Saudi Arab_W_Male_1L,Non-Saudi Arab_W_Male_1L_CA,CA,0,0,0,1,1,1,0,0
2059602,20596,2,Ms. B,Wife,Female,25-34,Non-Saudi Arab,Egyptian,housewife,Unemployed,,,No License,No,No Problem,Always,2059602,25-34,NW,2,0,Car_Nav,CA,0,0,0,L,1L,Non-Saudi Arab_NW_Female,Non-Saudi Arab_NW_Female_1L,Non-Saudi Arab_NW_Female_1L_CA,CA,0,0,0,0,0,0,0,0
2123701,21237,1,Mr. A,Head of Household,Male,47,Saudi,,Yes,Full Time Employed,Education - school,Car as Driver,Car Only,No,No Problem,Always,2123701,45-54,W,8,2,Car_Av,CA,,3,,H,3H,Saudi_W_Male,Saudi_W_Male_3H,Saudi_W_Male_3H_CA,CA,0,0,2,1,0,1,0,0
2123702,21237,2,Ms. B,Wife,Female,41,Saudi,,Yes,House Person,,,Car Only,No,No Problem,Always,2123702,34-44,NW,8,2,Car_Av,CA,1,2,1,H,3H,Saudi_NW_Female,Saudi_NW_Female_3H,Saudi_NW_Female_3H_CA,CA,0,0,1,1,0,0,0,0
2123703,21237,3,Mr. C,Son/Daughter,Male,19,Saudi,,Yes,Student - College: Full-Time (does not work),does not work,,Car Only,No,No Problem,Always,2123703,18-24,S,8,2,Car_Av,CA,1,2,1,H,3H,Saudi_S_Male,Saudi_S_Male,Saudi_S_Male_CA,CA,0,1,1,0,0,0,0,0
2123704,21237,4,Mr. D,Son/Daughter,Male,16,Saudi,,Yes,Student - Secondary School,,Car as Passenger,No License,No,No Problem,Always,2123704,16-17,SS,8,2,Car_Av,CA,1,2,1,H,3H,Saudi_SS_Male,Saudi_SS_Male,Saudi_SS_Male_CA,CA,0,1,1,0,0,0,0,0
